POI,No of items,Priority
Sonny,49,low
Vito,41,low
Fredo,45,med
Sonny,55,low
Vito,45,low
Sonny,40,high
Fredo,46,low
Sonny,49,None
Vito,47,low
Sonny,54,critical
Sonny,50,low
Sonny,55,low
Apollonia,37,None
Sonny,56,critical
Apollonia,49,low
Sonny,52,low
Sonny,64,med
Apollonia,57,med
Sonny,47,critical
Vito,47,med
Sonny,51,critical
Sonny,41,low
Fredo,55,med
Sonny,52,low
Fredo,42,low
Sonny,42,low
Sonny,45,low
Sonny,48,med
Sonny,39,low
Sonny,52,low
Sonny,47,med
Sonny,45,low
Sonny,49,low
Sonny,42,low
Sonny,57,low
Fredo,52,low
Sonny,57,med
Sonny,43,med
Sonny,48,med
Sonny,44,low
Fredo,49,critical
Fredo,40,med
Apollonia,39,low
Sonny,47,med
Sonny,51,med
Fredo,61,low
Sonny,50,med
Vito,56,critical
Sonny,48,low
Sonny,48,low
Fredo,47,high
Sonny,50,low
Vito,55,low
Fredo,53,low
Sonny,49,med
Vito,48,med
Sonny,53,low
Micheal,54,med
Sonny,38,med
Sonny,49,None
Fredo,51,low
Fredo,55,low
Sonny,36,low
Sonny,41,med
Fredo,39,med
Sonny,57,low
Sonny,45,low
Sonny,42,None
Sonny,47,critical
Fredo,51,critical
Sonny,47,low
Fredo,44,med
Sonny,48,low
Fredo,54,critical
Sonny,56,critical
Vito,44,low
Apollonia,47,med
Sonny,44,med
Vito,50,critical
Sonny,48,low
Sonny,47,med
Sonny,48,low
Sonny,56,low
Fredo,44,low
Sonny,48,high
Sonny,40,low
Fredo,45,None
Vito,52,None
Sonny,52,low
Apollonia,51,low
Fredo,39,med
Sonny,56,med
Sonny,51,med
Sonny,46,low
Fredo,35,low
Sonny,48,None
Fredo,53,low
Apollonia,47,low
Sonny,44,med
Fredo,43,med
Vito,42,med
Fredo,58,None
Sonny,58,med
Sonny,51,low
Vito,50,low
Sonny,42,critical
Sonny,49,critical
Apollonia,47,critical
Vito,44,low
Sonny,54,critical
Fredo,52,critical
Fredo,55,med
Sonny,53,med
Sonny,47,low
Vito,44,critical
Apollonia,60,critical
Vito,50,low
Apollonia,46,med
Sonny,46,med
Micheal,50,med
Sonny,44,low
Sonny,55,low
Fredo,39,critical
Vito,52,low
Sonny,55,low
Sonny,43,med
Vito,51,low
Sonny,55,None
Sonny,54,critical
Fredo,41,low
Sonny,48,low
Micheal,52,low
Sonny,49,low
Sonny,48,low
Fredo,53,low
Vito,54,critical
Sonny,45,critical
Sonny,43,low
Sonny,43,med
Sonny,51,low
Sonny,45,low
Sonny,51,high
Sonny,42,med
Sonny,49,med
Sonny,45,low
Sonny,52,med
Fredo,41,low
Sonny,50,critical
Sonny,56,low
Sonny,40,med
Sonny,47,low
Sonny,40,high
Fredo,53,low
Vito,38,med
Sonny,50,critical
Sonny,61,low
Sonny,45,low
Vito,44,critical
Sonny,54,med
Vito,43,med
Sonny,47,low
Sonny,38,low
Sonny,52,high
Fredo,47,low
Fredo,50,low
Micheal,41,low
Fredo,44,low
Fredo,54,critical
Fredo,52,None
Vito,48,low
Sonny,58,critical
Sonny,48,critical
Fredo,49,low
Apollonia,45,low
Fredo,48,med
Fredo,47,critical
Vito,54,None
Sonny,53,med
Sonny,59,critical
Fredo,58,med
Sonny,45,low
Sonny,56,critical
Fredo,49,med
Fredo,53,high
Fredo,43,med
Fredo,46,low
Sonny,49,low
Sonny,56,high
Apollonia,44,low
Sonny,37,low
Fredo,48,low
Fredo,48,med
Sonny,49,high
Sonny,53,med
Fredo,52,low
Sonny,52,low
Sonny,50,None
Micheal,50,critical
Vito,44,low
Sonny,49,critical
Vito,52,low
Sonny,45,None
Sonny,46,med
Sonny,40,low
Fredo,51,critical
Fredo,53,med
Sonny,51,critical
Fredo,53,low
Sonny,63,low
Sonny,57,low
Sonny,51,med
Sonny,52,low
Fredo,57,critical
Vito,43,high
Vito,43,low
Sonny,40,critical
Vito,44,critical
Vito,42,critical
Vito,54,low
Sonny,47,med
Sonny,49,med
Vito,54,med
Sonny,50,med
Fredo,43,critical
Sonny,51,critical
Sonny,47,low
Sonny,50,low
Fredo,39,low
Vito,45,med
Sonny,49,critical
Fredo,44,low
Sonny,45,low
Fredo,51,med
Sonny,45,med
Sonny,41,low
Sonny,50,med
Micheal,47,critical
Sonny,49,low
Sonny,44,med
Fredo,46,med
Apollonia,51,med
Micheal,42,med
Apollonia,44,med
Vito,51,high
Sonny,46,None
Sonny,48,high
Sonny,46,high
Sonny,48,low
Vito,48,low
Sonny,60,low
Micheal,53,med
Micheal,51,med
Fredo,50,med
Vito,50,critical
Fredo,44,low
Sonny,43,None
Sonny,39,low
Vito,50,low
Sonny,55,low
Fredo,53,med
Sonny,59,critical
Apollonia,54,med
Sonny,46,low
Sonny,47,low
Fredo,51,med
Sonny,50,med
Fredo,55,low
Sonny,57,critical
Sonny,47,low
Sonny,43,low
Sonny,54,med
Sonny,47,low
Sonny,47,low
Sonny,49,low
Sonny,50,low
Vito,51,low
Apollonia,55,med
Sonny,47,med
Sonny,53,critical
Fredo,46,med
Apollonia,54,critical
Sonny,46,critical
Sonny,56,low
Fredo,44,high
Fredo,42,low
Micheal,57,low
Fredo,44,low
Sonny,51,low
Sonny,48,low
Sonny,57,critical
Fredo,43,high
Fredo,42,high
Vito,51,high
Fredo,45,low
Sonny,53,critical
Sonny,50,low
Sonny,45,med
Fredo,37,low
Apollonia,47,low
Fredo,43,critical
Sonny,48,low
Sonny,57,critical
Fredo,61,low
Vito,46,critical
Sonny,48,critical
Micheal,53,med
Sonny,46,low
Fredo,44,low
Sonny,47,critical
Fredo,43,low
Sonny,50,critical
Sonny,48,low
Fredo,46,low
Vito,42,low
Fredo,42,low
Vito,45,critical
Vito,44,med
Sonny,53,critical
Fredo,39,med
Fredo,55,low
Sonny,50,low
Vito,60,critical
Sonny,40,low
Vito,50,low
Sonny,40,low
Fredo,50,low
Sonny,48,low
Fredo,46,med
Micheal,46,low
Vito,43,low
Sonny,47,med
Sonny,47,low
Sonny,49,low
Micheal,47,low
Fredo,50,None
Sonny,54,med
Micheal,49,low
Sonny,44,med
Micheal,60,low
Sonny,51,med
Sonny,46,med
Sonny,48,med
Sonny,41,critical
Fredo,42,med
Fredo,56,critical
Vito,54,low
Sonny,40,None
Fredo,57,low
Sonny,55,low
Sonny,47,low
Sonny,47,low
Sonny,44,critical
Fredo,50,low
Fredo,53,critical
Sonny,45,critical
Vito,53,low
Sonny,54,low
Sonny,51,critical
Sonny,60,med
Fredo,42,None
Apollonia,57,critical
Sonny,38,low
Fredo,45,high
Fredo,54,critical
Fredo,53,low
Sonny,46,low
Sonny,49,high
Fredo,37,low
Sonny,49,med
Fredo,56,low
Sonny,42,low
Vito,52,low
Fredo,52,low
Fredo,49,high
Fredo,44,high
Vito,45,low
Vito,48,low
Fredo,42,low
Vito,39,low
Micheal,45,low
Fredo,40,critical
Sonny,46,med
Fredo,45,low
Fredo,46,low
Sonny,52,None
Sonny,52,critical
Sonny,48,low
Fredo,48,None
Sonny,41,low
Fredo,53,low
Vito,44,med
Sonny,49,critical
Sonny,53,low
Sonny,48,critical
Apollonia,48,None
Sonny,47,low
Fredo,46,med
Sonny,54,low
Sonny,45,med
Fredo,45,low
Fredo,45,low
Fredo,40,med
Sonny,43,critical
Sonny,45,low
Sonny,51,low
Sonny,46,med
Sonny,46,med
Sonny,39,med
Vito,60,low
Sonny,51,med
Sonny,44,med
Sonny,53,low
Apollonia,49,low
Fredo,50,low
Fredo,39,med
Vito,44,med
Fredo,41,med
Sonny,53,low
Fredo,39,high
Micheal,47,high
Sonny,48,low
Fredo,38,None
Sonny,54,None
Sonny,45,critical
Sonny,48,low
Vito,47,low
Fredo,40,med
Vito,41,low
Micheal,58,med
Micheal,44,med
Vito,49,low
Sonny,48,low
Fredo,52,critical
Fredo,47,high
Sonny,45,low
Sonny,42,low
Micheal,49,med
Micheal,52,low
Sonny,47,low
Sonny,49,med
Fredo,45,low
Fredo,55,med
Vito,51,low
Sonny,39,high
Sonny,48,low
Sonny,59,critical
Sonny,51,low
Micheal,51,None
Sonny,49,med
Sonny,47,med
Fredo,49,low
Sonny,48,low
Sonny,46,None
Sonny,50,critical
Fredo,56,med
Sonny,43,low
Fredo,52,low
Fredo,46,critical
Sonny,49,critical
Sonny,52,low
Sonny,62,critical
Fredo,50,high
Fredo,54,med
Sonny,51,low
Sonny,46,low
Fredo,40,med
Fredo,46,critical
Sonny,45,med
Vito,40,med
Fredo,42,low
Sonny,46,low
Sonny,49,low
Sonny,41,critical
Sonny,48,med
Sonny,56,low
Sonny,42,low
Sonny,48,critical
Sonny,53,low
Micheal,47,low
Micheal,52,low
Micheal,50,med
Sonny,47,low
Sonny,49,low
Fredo,56,low
Sonny,52,med
Micheal,63,low
Vito,48,low
Sonny,51,high
Vito,44,high
Micheal,56,med
Sonny,57,critical
Sonny,53,None
Sonny,45,low
Sonny,47,low
Fredo,53,low
Fredo,51,low
Sonny,57,critical
Vito,49,low
Sonny,52,low
Sonny,52,low
Sonny,50,critical
Sonny,56,critical
Fredo,41,med
Sonny,49,critical
Fredo,47,low
Sonny,45,med
Sonny,45,low
Sonny,60,critical
Sonny,57,critical
Sonny,45,critical
Fredo,50,low
Fredo,44,low
Vito,53,None
Sonny,49,critical
Fredo,43,low
Apollonia,43,low
Micheal,54,low
Micheal,44,None
Sonny,45,critical
Sonny,57,low
Vito,58,med
Sonny,40,low
Vito,46,low
Sonny,52,low
Sonny,33,med
Sonny,49,low
Sonny,58,med
Sonny,48,critical
Sonny,45,med
Sonny,50,low
Micheal,46,low
Vito,46,low
Sonny,45,critical
Fredo,42,low
Sonny,54,low
Sonny,52,critical
Sonny,44,low
Sonny,47,high
Sonny,41,med
Fredo,48,critical
Sonny,53,low
Fredo,38,high
Sonny,43,low
Sonny,51,low
Apollonia,45,low
Vito,65,critical
Sonny,42,low
Sonny,42,low
Vito,45,med
Sonny,54,low
Sonny,50,critical
Sonny,50,critical
Sonny,41,critical
Fredo,48,low
Sonny,53,low
Vito,51,med
Sonny,48,low
Apollonia,50,low
Fredo,49,low
Vito,51,low
Sonny,38,critical
Fredo,45,low
Sonny,43,med
Sonny,47,critical
Sonny,41,low
Fredo,52,low
Sonny,46,low
Vito,48,low
Fredo,50,low
Fredo,51,critical
Sonny,50,med
Sonny,47,low
Fredo,42,med
Sonny,49,critical
Sonny,49,med
Fredo,57,critical
Fredo,42,low
Sonny,53,critical
Fredo,46,low
Vito,51,med
Sonny,55,med
Vito,44,low
Sonny,59,low
Fredo,47,med
Fredo,46,high
Fredo,42,low
Vito,37,low
Vito,43,med
Sonny,47,None
Sonny,54,low
Fredo,52,low
Micheal,49,low
Sonny,42,med
Sonny,47,critical
Vito,53,med
Sonny,60,low
Apollonia,49,med
Vito,55,None
Fredo,49,low
Fredo,47,low
Fredo,50,med
Sonny,41,med
Sonny,46,med
Sonny,42,low
Vito,45,med
Sonny,55,critical
Sonny,49,med
Fredo,49,critical
Vito,37,low
Fredo,40,low
Sonny,42,critical
Fredo,42,low
Sonny,40,critical
Fredo,42,low
Sonny,42,critical
Sonny,56,critical
Fredo,48,med
Sonny,44,low
Sonny,37,low
Sonny,43,med
Sonny,52,low
Fredo,50,critical
Sonny,40,med
Sonny,50,low
Sonny,47,low
Sonny,50,low
Fredo,53,low
Apollonia,49,med
Vito,44,low
Sonny,59,low
Sonny,34,low
Sonny,43,low
Fredo,45,high
Fredo,45,high
Vito,46,None
Fredo,51,med
Sonny,49,low
Vito,48,low
Vito,48,critical
Fredo,56,med
Fredo,47,high
Apollonia,55,low
Sonny,53,low
Sonny,49,low
Sonny,52,low
Sonny,54,low
Fredo,48,None
Sonny,48,critical
Vito,40,None
Sonny,48,low
Sonny,56,low
Sonny,47,low
Vito,52,med
Fredo,50,critical
Fredo,50,low
Fredo,49,low
Apollonia,43,low
Sonny,43,None
Sonny,45,high
Micheal,46,med
Fredo,45,low
Vito,53,low
Sonny,58,med
Sonny,42,low
Fredo,41,med
Fredo,53,critical
Fredo,52,high
Fredo,45,high
Fredo,50,med
Sonny,47,low
Sonny,55,low
Sonny,53,low
Vito,49,low
Apollonia,59,med
Sonny,57,low
Sonny,57,critical
Micheal,52,critical
Sonny,52,low
Fredo,40,low
Sonny,48,low
Fredo,42,low
Sonny,43,med
Sonny,52,low
Sonny,46,None
Sonny,45,low
Fredo,43,critical
Sonny,55,low
Sonny,48,high
Micheal,52,med
Micheal,51,med
Sonny,54,med
Vito,51,None
Micheal,42,low
Fredo,48,None
Fredo,44,low
Sonny,44,low
Fredo,49,low
Sonny,61,critical
Sonny,43,None
Sonny,55,med
Sonny,46,low
Fredo,41,low
Fredo,47,low
Vito,57,med
Sonny,40,med
Sonny,47,low
Sonny,40,None
Sonny,43,low
Fredo,40,critical
Sonny,43,low
Sonny,44,low
Vito,43,med
Fredo,51,low
Fredo,49,critical
Fredo,47,None
Vito,51,critical
Apollonia,55,med
Sonny,51,low
Sonny,47,low
Vito,47,med
Sonny,45,low
Vito,46,med
Apollonia,52,med
Vito,43,critical
Apollonia,41,low
Sonny,47,high
Micheal,45,low
Vito,41,high
Sonny,47,med
Fredo,43,low
Fredo,51,med
Vito,41,low
Sonny,47,high
Sonny,41,low
Fredo,46,high
Sonny,55,critical
Sonny,35,low
Vito,51,low
Vito,42,critical
Vito,50,med
Sonny,52,med
Vito,50,med
Vito,56,med
Fredo,55,critical
Sonny,51,None
Sonny,54,med
Fredo,47,low
Apollonia,42,high
Vito,54,critical
Sonny,41,low
Sonny,50,low
Fredo,45,critical
Sonny,51,critical
Apollonia,43,med
Fredo,39,low
Sonny,42,med
Sonny,52,med
Vito,56,med
Sonny,51,low
Fredo,46,low
Sonny,53,critical
Vito,49,low
Vito,46,low
Sonny,60,None
Sonny,51,low
Sonny,52,low
Sonny,56,low
Sonny,51,critical
Vito,47,low
Fredo,36,high
Apollonia,44,critical
Fredo,37,low
Sonny,51,med
Sonny,58,low
Fredo,46,med
Fredo,41,low
Sonny,44,med
Vito,46,low
Fredo,44,med
Fredo,49,critical
Fredo,53,med
Fredo,46,low
Sonny,54,low
Sonny,52,med
Sonny,42,low
Fredo,50,med
Sonny,53,low
Sonny,42,high
Fredo,55,med
Fredo,54,low
Fredo,45,med
Micheal,44,low
Sonny,46,med
Fredo,40,critical
Fredo,43,med
Sonny,47,low
Fredo,45,low
Micheal,49,low
Sonny,45,low
Vito,45,low
Sonny,55,med
Sonny,40,low
Sonny,43,low
Sonny,44,med
Sonny,47,low
Apollonia,43,critical
Sonny,53,critical
Sonny,47,low
Sonny,50,low
Sonny,49,high
Sonny,47,critical
Sonny,52,med
Sonny,43,critical
Sonny,45,high
Sonny,47,low
Fredo,58,low
Sonny,51,low
Apollonia,51,low
Fredo,49,low
Sonny,41,critical
Fredo,53,med
Sonny,55,med
Micheal,68,low
Fredo,59,med
Sonny,51,low
Sonny,46,low
Fredo,49,critical
Vito,52,critical
Sonny,41,med
Sonny,42,low
Fredo,51,low
Vito,44,low
Fredo,46,low
Micheal,49,low
Sonny,46,med
Vito,51,low
Fredo,43,low
Fredo,47,None
Sonny,43,med
Sonny,45,low
Sonny,64,med
Sonny,49,med
Fredo,47,high
Sonny,42,med
Apollonia,52,med
Fredo,42,critical
Sonny,52,low
Vito,45,med
Fredo,46,low
Fredo,48,critical
Sonny,47,low
Sonny,53,low
Sonny,49,critical
Sonny,47,critical
Fredo,43,low
Fredo,46,med
Sonny,46,high
Sonny,51,low
Sonny,44,high
Sonny,47,high
Sonny,48,high
Sonny,50,critical
Fredo,46,low
Sonny,56,med
Sonny,48,low
