,Date,Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Laptop_Demand
36,15-10-2010,1867345.09,0,62.03,2.7319999999999998,126.3266774,7.127000000000001,1
37,22-10-2010,1927610.06,0,64.17,2.736,126.38154840000001,7.127000000000001,0
38,29-10-2010,1933333.0,0,56.94,2.718,126.43641940000002,7.127000000000001,0
39,05-11-2010,2013115.79,0,51.6,2.699,126.49129029999999,7.127000000000001,0
40,12-11-2010,1999794.26,0,52.65,2.741,126.5461613,7.127000000000001,0
41,19-11-2010,2097809.4,0,48.05,2.78,126.6072,7.127000000000001,2
42,26-11-2010,2789469.45,1,48.08,2.752,126.66926670000001,7.127000000000001,2
43,03-12-2010,2102530.17,0,46.4,2.727,126.73133329999999,7.127000000000001,1
44,10-12-2010,2302504.86,0,42.4,2.86,126.7934,7.127000000000001,0
45,17-12-2010,2740057.14,0,46.57,2.884,126.87948390000001,7.127000000000001,25
46,24-12-2010,3526713.39,0,43.21,2.887,126.98358059999998,7.127000000000001,0
47,31-12-2010,1794868.74,1,38.09,2.955,127.0876774,7.127000000000001,0
48,07-01-2011,1862476.27,0,39.34,2.98,127.19177420000001,6.51,1
49,14-01-2011,1865502.46,0,31.6,2.992,127.3009355,6.51,0
50,21-01-2011,1886393.94,0,38.34,3.017,127.44048390000002,6.51,4
51,28-01-2011,1814240.85,0,40.6,3.022,127.58003229999998,6.51,0
52,04-02-2011,2119086.04,0,34.61,2.9960000000000004,127.71958059999999,6.51,0
53,11-02-2011,2187847.29,1,33.29,3.033,127.85912900000001,6.51,4
54,18-02-2011,2316495.56,0,48.17,3.0580000000000003,127.99525,6.51,0
55,25-02-2011,2078094.69,0,49.0,3.0869999999999997,128.13,6.51,0
56,04-03-2011,2103455.75,0,46.56,3.305,128.26475,6.51,0
57,11-03-2011,2039818.41,0,50.93,3.4610000000000003,128.3995,6.51,0
58,18-03-2011,2116475.38,0,51.86,3.495,128.5121935,6.51,0
59,25-03-2011,1944164.32,0,59.1,3.48,128.6160645,6.51,0
60,01-04-2011,1900246.47,0,56.99,3.5210000000000004,128.7199355,5.946000000000001,0
61,08-04-2011,2074953.46,0,62.61,3.605,128.8238065,5.946000000000001,0
62,15-04-2011,1960587.76,0,62.34,3.7239999999999998,128.91073329999998,5.946000000000001,0
63,22-04-2011,2220600.76,0,68.8,3.781,128.9553,5.946000000000001,0
64,29-04-2011,1878167.44,0,64.22,3.781,128.9998667,5.946000000000001,0
65,06-05-2011,2063682.76,0,63.41,3.866,129.04443329999998,5.946000000000001,0
66,13-05-2011,2002362.37,0,70.65,3.872,129.089,5.946000000000001,0
67,20-05-2011,2015563.48,0,70.49,3.8810000000000002,129.0756774,5.946000000000001,0
68,27-05-2011,1986597.95,0,73.65,3.7710000000000004,129.0623548,5.946000000000001,0
69,03-06-2011,2065377.15,0,78.26,3.6830000000000003,129.0490323,5.946000000000001,1
70,10-06-2011,2073951.38,0,80.05,3.64,129.0357097,5.946000000000001,0
71,17-06-2011,2141210.62,0,83.51,3.6180000000000003,129.0432,5.946000000000001,0
72,24-06-2011,2008344.92,0,81.85,3.57,129.0663,5.946000000000001,4
73,01-07-2011,2051533.53,0,84.54,3.5039999999999996,129.0894,5.644,0
74,08-07-2011,2066541.86,0,84.59,3.469,129.1125,5.644,0
75,15-07-2011,2049046.95,0,83.27,3.563,129.1338387,5.644,0
76,22-07-2011,2036231.39,0,82.84,3.627,129.1507742,5.644,0
77,29-07-2011,1989674.07,0,84.36,3.659,129.16770970000002,5.644,0
78,05-08-2011,2160057.39,0,86.09,3.662,129.1846452,5.644,0
79,12-08-2011,2105668.74,0,82.98,3.617,129.2015806,5.644,0
80,19-08-2011,2232892.1,0,82.77,3.55,129.2405806,5.644,0
81,26-08-2011,1988490.21,0,81.47,3.523,129.2832581,5.644,0
82,02-09-2011,2078420.31,0,77.99,3.533,129.32593549999999,5.644,0
83,09-09-2011,2093139.01,1,73.34,3.554,129.3686129,5.644,2
84,16-09-2011,2075577.33,0,72.76,3.532,129.4306,5.644,0
85,23-09-2011,2031406.41,0,69.23,3.4730000000000003,129.5183333,5.644,0
86,30-09-2011,1929486.63,0,72.15,3.3710000000000004,129.6060667,5.644,3
87,07-10-2011,2166737.65,0,65.79,3.299,129.6938,5.143,0
88,14-10-2011,2074548.85,0,63.75,3.283,129.77064520000002,5.143,0
89,21-10-2011,2207742.13,0,64.79,3.361,129.78216129999998,5.143,0
90,28-10-2011,2151659.59,0,55.31,3.362,129.7936774,5.143,0
91,04-11-2011,2281217.31,0,49.86,3.322,129.8051935,5.143,0
92,11-11-2011,2203028.96,0,47.12,3.286,129.81670970000002,5.143,3
93,18-11-2011,2243946.59,0,50.44,3.2939999999999996,129.82683329999998,5.143,2
94,25-11-2011,3004702.33,1,47.96,3.225,129.8364,5.143,0
95,02-12-2011,2180999.26,0,38.71,3.176,129.84596670000002,5.143,0
96,09-12-2011,2508955.24,0,31.64,3.153,129.8555333,5.143,0
97,16-12-2011,2771397.17,0,36.44,3.1489999999999996,129.8980645,5.143,0
98,23-12-2011,3676388.98,0,35.92,3.103,129.98454840000002,5.143,0
99,30-12-2011,2007105.86,1,36.89,3.1189999999999998,130.07103229999998,5.143,0
100,06-01-2012,2047766.07,0,38.64,3.158,130.15751609999998,4.607,0
101,13-01-2012,1941676.61,0,34.41,3.263,130.244,4.607,2
102,20-01-2012,2005097.76,0,42.09,3.273,130.27922579999998,4.607,0
103,27-01-2012,1928720.51,0,40.31,3.29,130.31445159999998,4.607,0
104,03-02-2012,2173373.91,0,41.81,3.3539999999999996,130.3496774,4.607,0
105,10-02-2012,2374660.64,1,33.0,3.411,130.38490320000002,4.607,0
106,17-02-2012,2427640.17,0,34.19,3.4930000000000003,130.4546207,4.607,3
107,24-02-2012,2226662.17,0,41.31,3.5410000000000004,130.5502069,4.607,0
108,02-03-2012,2206319.9,0,50.38,3.6189999999999998,130.6457931,4.607,0
109,09-03-2012,2202450.81,0,53.63,3.667,130.7413793,4.607,0
110,16-03-2012,2214967.44,0,59.81,3.707,130.82619350000002,4.607,0
111,23-03-2012,2091592.54,0,59.07,3.759,130.8966452,4.607,45
112,30-03-2012,2089381.77,0,72.63,3.82,130.96709679999998,4.607,0
113,06-04-2012,2470206.13,0,67.69,3.864,131.03754840000002,4.308,0
114,13-04-2012,2105301.39,0,68.69,3.8810000000000002,131.108,4.308,1
115,20-04-2012,2144336.89,0,68.6,3.864,131.11733329999998,4.308,0
116,27-04-2012,2064065.66,0,76.47,3.81,131.12666670000002,4.308,0
117,04-05-2012,2196968.33,0,80.14,3.747,131.136,4.308,0
118,11-05-2012,2127661.17,0,67.64,3.685,131.14533329999998,4.308,0
119,18-05-2012,2207214.81,0,68.43,3.62,131.0983226,4.308,0
120,25-05-2012,2154137.67,0,77.47,3.551,131.02877420000002,4.308,10
121,01-06-2012,2179360.94,0,77.41,3.483,130.95922579999998,4.308,0
122,08-06-2012,2245257.18,0,78.11,3.4330000000000003,130.8896774,4.308,0
123,15-06-2012,2234190.93,0,80.94,3.372,130.82953329999998,4.308,0
124,22-06-2012,2197299.65,0,81.63,3.3289999999999997,130.7929,4.308,0
125,29-06-2012,2128362.92,0,84.23,3.2569999999999997,130.75626670000003,4.308,0
126,06-07-2012,2224499.28,0,80.37,3.187,130.7196333,4.077,4
127,13-07-2012,2100252.61,0,76.86,3.2239999999999998,130.683,4.077,0
128,20-07-2012,2175563.69,0,79.14,3.263,130.70129029999998,4.077,0
129,27-07-2012,2048613.65,0,81.06,3.3560000000000003,130.7195806,4.077,0
130,03-08-2012,2174514.13,0,83.86,3.3739999999999997,130.73787099999998,4.077,8
131,10-08-2012,2193367.69,0,83.21,3.4760000000000004,130.7561613,4.077,0
132,17-08-2012,2283540.3,0,81.41,3.552,130.7909677,4.077,0
133,24-08-2012,2125241.68,0,75.76,3.61,130.8381613,4.077,0
134,31-08-2012,2081181.35,0,76.47,3.6460000000000004,130.8853548,4.077,3
135,07-09-2012,2125104.72,1,82.09,3.7089999999999996,130.93254840000003,4.077,5
136,14-09-2012,2117854.6,0,68.2,3.7060000000000004,130.97766670000001,4.077,0
137,21-09-2012,2119438.53,0,68.97,3.721,131.01033329999999,4.077,0
138,28-09-2012,2027620.23,0,71.74,3.6660000000000004,131.043,4.077,0
139,05-10-2012,2209835.43,0,63.07,3.62,131.0756667,3.8789999999999996,0
140,12-10-2012,2133026.07,0,57.11,3.603,131.1083333,3.8789999999999996,0
141,19-10-2012,2097266.85,0,64.46,3.61,131.14996770000002,3.8789999999999996,3
142,26-10-2012,2149594.46,0,63.64,3.514,131.19309679999998,3.8789999999999996,2
