,S.No,actual,name,title,male,culture,dateOfBirth,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity
27,28,1,Wulfe,,1,Ironborn,,,,,House Greyjoy,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0234113712374581
28,29,1,Wyl the Whittler,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0066889632107023
29,30,0,Wyl (guard),,0,Northmen,,,,,House Stark,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0267558528428093
30,31,0,Wyl Waynwood,,0,,,,,,House Waynwood,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0133779264214046
31,32,1,Wun Weg Wun Dar Wun,,1,,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0501672240802675
32,33,1,Wylla,,1,,,,,,House Dayne,,1,0,1,0,0,,,,,0,0,,0,0,0,0.0267558528428093
33,34,1,Wynafryd Manderly,,0,,280.0,,,,House Manderly,,0,0,0,1,1,,,,,0,0,25.0,0,0,0,0.0568561872909698
34,35,1,Xhondo,,1,Summer Islands,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.020066889632107
35,36,1,Ygon Farwynd,,1,,,,,,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535
36,37,1,Yna,,1,,,,,,Happy Port,,0,0,0,1,0,,,,,0,0,,0,0,0,0.020066889632107
37,38,1,Yohn Farwynd,,1,Ironborn,,,,,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535
38,39,1,Yorkel,,0,,,,,,House Targaryen,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0
39,40,1,Yorko Terys,,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0234113712374581
40,41,1,Yormwell,Maester,0,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0033444816053511
41,42,0,Young Henly,,1,,240.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,59.0,0,0,0,0.0133779264214046
42,43,1,Ysilla,,0,,,,,,,Yandry,0,0,0,0,1,,,,1.0,1,0,,0,0,0,0.040133779264214
43,44,1,Zarabelo,Archmaester,0,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0066889632107023
44,45,1,Zei,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0133779264214046
45,46,1,Zekko,Khal,1,Dothraki,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0133779264214046
46,47,1,Zharaq zo Loraq,,1,Ghiscari,,,,,House of Loraq,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0100334448160535
47,48,1,Wenda,,0,,,,,,Kingswood Brotherhood,,0,0,1,1,0,,,,,0,0,,0,0,0,0.0167224080267558
48,49,1,Wex Pyke,,1,Ironborn,286.0,,,,House Botley,,0,1,1,1,1,,,,,0,0,19.0,0,0,0,0.113712374581939
49,50,1,Timett,red hand,1,Vale Mountain Clans,278.0,,,,Burned Men,,1,1,1,0,1,,,,,0,1,27.0,0,0,0,0.0735785953177257
50,51,0,Joffrey Baratheon,,1,,,Cersei Lannister,Robert Baratheon,Tommen Baratheon,,,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,1,1,1.0
51,52,0,Laenor Velaryon,Ser,1,Valyrian,94.0,,,,House Velaryon,Rhaenyra Targaryen,0,0,0,0,0,,,,1.0,1,1,26.0,0,0,0,0.193979933110367
52,53,0,Leobald Tallhart,Castellan,1,Northmen,,,,,House Tallhart,Berena Hornwood,0,1,1,1,1,,,,1.0,1,1,,0,0,0,0.110367892976588
53,54,0,Maegor I Targaryen,,1,,,Visenya Targaryen,Aegon I Targaryen,Jaehaerys Targaryen,,,0,0,0,0,0,0.0,0.0,1.0,,0,0,,0,0,1,0.705685618729097
54,55,1,Margaery Tyrell,Seven Kingdoms,0,Reach,283.0,,,,House Tyrell,Renly Baratheon,1,1,1,1,1,,,,0.0,1,1,22.0,3,1,1,1.0
55,56,0,Naerys Targaryen,PrincessQueen,0,Valyrian,138.0,,,,House Targaryen,Aegon IV Targaryen,1,0,0,0,0,,,,0.0,1,1,100.0,12,1,0,0.220735785953177
56,57,1,Quence,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.020066889632107
57,58,1,Quellon Botley,,1,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0468227424749163
58,59,0,Quellon Greyjoy,Lord of the Iron Islands,1,Ironborn,,,,,House Greyjoy,Stonetree,0,0,0,1,0,,,,1.0,1,1,,0,0,0,0.0903010033444816
59,60,0,Quentyn Blackwood,Lord,0,,,,,,House Blackwood,,0,0,0,0,0,,,,,0,1,,0,0,0,0.020066889632107
60,61,1,Quenton Greyjoy,,1,Ironborn,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0,0,0.060200668896321
61,62,1,Quhuru Mo,,1,Summer Islands,,,,,,,0,1,0,1,0,,,,,0,0,,0,0,0,0.040133779264214
62,63,1,Quickfinger,,1,,,,,,House Blackfyre,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0100334448160535
63,64,1,Quill,,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080267558
64,65,1,Quentin Tyrell,Ser,0,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,1,,0,0,0,0.127090301003344
65,66,0,Quort,,1,,285.0,,,,wildling,,0,0,1,0,0,,,,,0,0,14.0,0,0,0,0.0100334448160535
66,67,0,Qyle,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0133779264214046
67,68,1,Rafe,,0,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0066889632107023
68,69,1,Racallio Ryndoon,,1,Tyroshi,,,,,Kingdom of the Three Daughters,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0100334448160535
69,70,1,Ragnor Pyke,,0,Ironborn,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535
70,71,1,Rainbow Knight,,0,,,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0033444816053511
71,72,1,Randa,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0033444816053511
72,73,0,Rast,,1,,,,,,Night's Watch,,1,1,1,0,0,,,,,0,0,,0,0,0,0.0668896321070234
73,74,1,Rawney,Brother,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0100334448160535
74,75,1,Raymar Royce,Lord,1,,,,,,House Royce of the Gates of the Moon,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0133779264214046
75,76,1,Raymond Nayland,Ser,0,,,,,,House Nayland,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0167224080267558
76,77,1,Raymund Tyrell,,0,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,0,,0,0,0,0.127090301003344
77,78,1,Red Oarsman,,0,Ironborn,,,,,,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0167224080267558
78,79,1,Red Lamb,Ser,1,Lhazarene,,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0
79,80,1,Redtusk,Ser,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0167224080267558
80,81,0,Red Rolfe,,1,,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0133779264214046
81,82,1,Redwyn,,0,,,,,,Night's Watch,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0066889632107023
82,83,1,Reynard Webber,Lord of Coldmoat,0,,,,,,House Webber,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0066889632107023
83,84,1,Reysen,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0234113712374581
84,85,0,Rhaegel Targaryen,Prince of Dragonstone,1,Valyrian,173.0,,,,House Targaryen,Alys Arryn,0,0,0,0,0,,,,1.0,1,1,42.0,3,1,0,0.0969899665551839
85,86,0,Rhaena Targaryen (daughter of Daemon),Lady,0,,116.0,,,,House Targaryen,Corwyn Corbray,0,0,0,0,0,,,,1.0,1,1,100.0,0,0,0,0.1438127090301
86,87,0,Rhaena Targaryen (daughter of Aegon III),PrincessSepta,0,Valyrian,147.0,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,100.0,0,0,0,0.0735785953177257
87,88,0,Rhaenys Targaryen,Queen,0,Valyrian,-25.0,,,,House Targaryen,Aegon I Targaryen,1,0,0,0,0,,,,0.0,1,1,35.0,1,1,0,0.277591973244147
88,89,0,Rhaenys Targaryen (daughter of Rhaegar),Princess,0,,280.0,,,,House Targaryen,,1,1,1,1,1,,,,,0,1,3.0,10,1,0,0.244147157190635
89,90,1,Rhialta Vance,,0,,,,,,House Vance of Wayfarer's Rest,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080267558
90,91,0,Rhaenys Targaryen (daughter of Aemon),Princess,0,Valyrian,74.0,,,,House Targaryen,Corlys Velaryon,0,0,0,0,0,,,,0.0,1,1,55.0,0,0,0,0.1438127090301
91,92,1,Rhonda Rowan,,0,,,,,,House Rowan,Baelor Hightower,0,0,0,1,0,,,,1.0,1,0,,0,0,0,0.0501672240802675
92,93,0,Richard Farrow,Ser,0,,,,,,House Farrow,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0167224080267558
93,94,1,Richard Lonmouth,Ser,1,,,,,,House Lonmouth,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0234113712374581
94,95,1,Rigney,Archmaester,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0033444816053511
95,96,1,Rob,,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0033444816053511
96,97,1,Rickard Tyrell,,1,,,,,,House Tyrell,,0,0,1,1,0,,,,,0,0,,0,0,0,0.123745819397993
97,98,1,Robb Reyne,Ser,1,,,,,,House Reyne,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0066889632107023
98,99,1,Robert Ashford,Ser,1,Reach,,,,,House Ashford,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0234113712374581
99,100,1,Robert Brax (son of Flement),,1,,290.0,,,,House Brax,,0,1,1,1,0,,,,,0,0,15.0,0,0,0,0.120401337792642
100,101,1,Robert Paege,Ser,0,,,,,,House Paege,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0100334448160535
101,102,0,Robb Stark,,1,,,Catelyn Stark,Eddard Stark,Bran Stark,,,0,0,0,0,0,0.0,0.0,1.0,,0,0,,7,1,1,1.0
102,103,1,Robin,,1,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080267558
103,104,1,Robert Frey (son of Raymund),,1,,283.0,,,,House Frey,,0,1,1,1,0,,,,,0,0,22.0,0,0,0,0.147157190635451
104,105,1,Robin Greyjoy,,1,Ironborn,,,,,House Greyjoy,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0635451505016722
105,106,1,Robin Hollard,,1,,,,,,House Hollard,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0267558528428093
106,107,1,Rodrik Freeborn,,1,Ironborn,,,,,,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0133779264214046
107,108,1,Roelle,Septa,0,,,,,,House Tarth,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0
108,109,1,Rodrik Stark (son of Beron),,1,Northmen,,,,,House Stark,Arya Flint,0,0,0,0,1,,,,1.0,1,0,,0,0,0,0.100334448160535
109,110,0,Roger of Pennytree,,1,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0301003344481605
110,111,1,Roggo,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214046
111,112,1,Roger Ryswell,,1,Northmen,,,,,House Ryswell,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0468227424749163
112,113,1,Rolder,,1,,,,,,House Lannister,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0
113,114,1,Roland Crakehall (Kingsguard),Ser,1,,,,,,House Crakehall,,0,0,0,0,0,,,,,0,1,,0,0,0,0.020066889632107
114,115,1,Rolfe,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0033444816053511
115,116,1,Rolland Darklyn,Ser,1,,,,,,House Darklyn,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0100334448160535
116,117,1,Rollam Westerling,,1,,290.0,,,,House Westerling,,0,0,1,1,0,,,,,0,0,15.0,0,0,0,0.0434782608695652
117,118,1,Romny Weaver,,1,Ironborn,,,,,House Weaver,,0,0,0,1,0,,,,,0,0,,0,0,0,0.020066889632107
118,119,1,Ronald Storm,,1,,,,,,House Connington,,0,0,0,0,1,,,,,0,0,,0,0,0,0.040133779264214
119,120,1,Ronnel Stout,,0,Northmen,,,,,House Stout,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0334448160535117
120,121,1,Ronnel Harclay,,0,,,,,,House Harclay,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0133779264214046
121,122,1,Roone,,1,,286.0,,,,,,0,0,0,1,0,,,,,0,0,19.0,0,0,0,0.040133779264214
122,123,1,Roone (maester),Maester,1,,,,,,,,0,0,1,1,0,,,,,0,1,,0,0,0,0.0100334448160535
123,124,1,Roryn Drumm,,0,Ironborn,,,,,House Drumm,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0033444816053511
124,125,1,Roose Ryswell,,1,Northmen,,,,,House Ryswell,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0301003344481605
125,126,1,Rosamund Lannister,,0,,,,,,House Lannister of Lannisport,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0234113712374581
126,127,1,Rosey,,0,,284.0,,,,,,0,0,0,1,0,,,,,0,0,21.0,0,0,0,0.0301003344481605
127,128,0,Rowan,,1,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.060200668896321
128,129,1,Rudge,,0,,,,,,Night's Watch,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0
129,130,0,Runciter,Grand Maester,1,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.244147157190635
130,131,1,Rupert Crabb,Ser,0,,,,,,House Crabb,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0066889632107023
131,132,1,Rus,,0,Ironmen,,,,,Drowned men,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535
132,133,1,Rusty Flowers,,1,,,,,,Night's Watch,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0
133,134,1,Ryam,Archmaester,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0133779264214046
134,135,1,Ryk,,1,Free Folk,,,,,,Munda,0,0,1,1,1,,,,1.0,1,0,,0,0,0,0.0267558528428093
135,136,0,Ryles,,0,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0133779264214046
136,137,1,Rymolf,,0,Ironborn,,,,,House Greyjoy,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0
137,138,1,S'vrone,,0,Braavosi,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0133779264214046
138,139,1,Saathos,,0,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0033444816053511
139,140,1,Sailor's Wife,,0,,,,,,Happy Port,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0468227424749163
140,141,0,Sallor,,1,Qartheen,,,,,Stormcrows,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0301003344481605
141,142,1,Salloreon,,1,,,,,,Antler Men,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0133779264214046
142,143,1,Sam Stoops,,1,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0033444816053511
143,144,1,Samwell Spicer,Ser,1,,,,,,House Spicer,,0,0,1,1,0,,,,,0,1,,0,0,0,0.0133779264214046
144,145,1,Sargon Botley,,1,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0535117056856187
145,146,1,Scarb,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0066889632107023
146,147,1,Sawwood,,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0100334448160535
147,148,1,Sedgekins,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0
148,149,1,Sefton Staunton,Septon,1,,,,,,House Staunton,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0301003344481605
149,150,1,Serra,,0,Lysene,,,,,,Illyrio Mopatis,0,0,0,0,1,,,,1.0,1,0,,0,0,0,0.0167224080267558
150,151,1,Sharna,,0,,,,,,,Husband,0,0,1,1,0,,,,1.0,1,0,,0,0,0,0.0367892976588628
151,152,1,Shella,,0,,,,,,,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0033444816053511
152,153,1,Sherrit,King,0,,,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0033444816053511
153,154,1,Shortear,,0,Westermen,,,,,House Lannister,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214046
154,155,1,Shyra,,0,Northmen,,,,,House Stark,,0,1,0,1,0,,,,,0,0,,0,0,0,0.020066889632107
155,156,1,Sigfry Stonetree,,1,Ironborn,,,,,House Stonetree,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0033444816053511
156,157,1,Sigrin,,1,Ironborn,,,,,House Greyjoy,,0,1,1,0,0,,,,,0,0,,0,0,0,0.0234113712374581
157,158,1,Simon Leygood,Ser,0,,,,,,House Leygood,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0033444816053511
158,159,1,Sky Blue Su,,0,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0
159,160,1,Skinner,,1,,,,,,House Bolton,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0334448160535117
160,161,1,Skittrick,,0,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0066889632107023
161,162,1,Skyte,,1,Ironborn,,,,,,,0,1,1,1,0,,,,,0,0,,0,0,0,0.0234113712374581
162,163,1,Sloey,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080267558
163,164,1,Spare Boot,,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0133779264214046
164,165,0,Softfoot,,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.020066889632107
165,166,0,Spotted Pate of Maidenpool,,1,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0133779264214046
166,167,0,Squint,,0,,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0033444816053511
167,168,0,Squirrel,,0,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0434782608695652
168,169,1,Steffarion Sparr,,1,Ironborn,,,,,House Sparr,,0,0,0,1,0,,,,,0,0,,0,0,0,0.020066889632107
169,170,0,Stafford Lannister,Ser,1,Westermen,246.0,,,,House Lannister,Myranda Lefford,1,1,1,1,1,,,,1.0,1,1,53.0,1,1,0,0.170568561872909
170,171,1,Steffon Fossoway,Ser,1,,,,,,House Fossoway of Cider Hall,,0,0,0,0,0,,,,,0,1,,0,0,0,0.040133779264214
171,172,1,Steffon Hollard,Ser,0,,,,,,House Hollard,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0267558528428093
172,173,1,Stannis Baratheon,,1,,,Cassana Estermont,Steffon Baratheon,Shireen Baratheon,,,0,0,0,0,0,0.0,0.0,1.0,,0,0,,4,1,1,1.0
173,174,1,Steffon Varner,Lord,1,,,,,,House Varner,,0,1,0,0,0,,,,,0,1,,0,0,0,0.0133779264214046
174,175,0,Stone Thumbs,,0,Free Folk,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0033444816053511
175,176,1,Stonehand,,0,Ironborn,,,,,,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0100334448160535
176,177,1,Sybassion,,1,Qartheen,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0133779264214046
177,178,0,Sylas,,0,,,,,,House Greyjoy,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0066889632107023
178,179,1,Symon Stripeback,,1,,,,,,House Targaryen,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0434782608695652
179,180,1,Symond Botley,,1,Ironborn,,,,,House Botley,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0468227424749163
180,181,1,Tagganaro,,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0301003344481605
181,182,1,Tal Toraq,,1,Summer Islands,,,,,House Targaryen,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0234113712374581
182,183,1,Talea,,0,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.020066889632107
183,184,1,Talla Tarly,,1,,,,,,House Tarly,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0702341137123745
184,185,1,Tansy,,0,,,,,,Peach,,0,0,1,1,0,,,,,0,0,,0,0,0,0.0234113712374581
185,186,1,Tansy (orphan),,0,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0066889632107023
186,187,1,Tarber,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0334448160535117
187,188,1,Terrance Lynderly,,0,,,,,,House Lynderly,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080267558
188,189,1,Terro,,1,Braavosi,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214046
189,190,1,Theo Frey,Ser,1,,,,,,House Frey,,1,0,0,0,0,,,,,0,1,,0,0,0,0.0133779264214046
190,191,1,Theobald,Seneschal,1,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.020066889632107
191,192,0,Thistle,,0,Free Folk,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0167224080267558
192,193,1,Theon Stark,,1,Northmen,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0568561872909698
193,194,1,Thormor Ironmaker,,1,Ironborn,,,,,House Ironmaker,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0167224080267558
194,195,1,Tim Stone,,0,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0167224080267558
195,196,1,Timon,Ser,0,,,,,,,,0,1,1,0,0,,,,,0,1,,0,0,0,0.0066889632107023
196,197,1,Timett (father),,0,Vale Mountain Clans,,,,,Burned Men,,1,1,0,0,1,,,,,0,0,,0,0,0,0.0133779264214046
197,198,1,Timoth,,1,,,,,,House Martell,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0066889632107023
198,199,1,Tobbot,,0,,,,,,House Clegane,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0100334448160535
199,200,1,Toefinger,,1,Free Folk,,,,,,,0,0,1,1,0,,,,,0,0,,0,0,0,0.0066889632107023
200,201,0,Todric,,1,,,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0167224080267558
201,202,1,Tom Costayne,Ser,0,,,,,,House Costayne,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0066889632107023
202,203,1,TomToo,,0,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0133779264214046
203,204,0,Tommard Heddle,Ser,1,,,,,,House Heddle,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0468227424749163
204,205,1,Toregg,,1,Free Folk,,,,,,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0267558528428093
